# y(um),z(pm)
-1.500000000000000000e+02,0.000000000000000000e+00
-1.496996996996996643e+02,0.000000000000000000e+00
-1.493993993993993854e+02,0.000000000000000000e+00
-1.490990990990990781e+02,0.000000000000000000e+00
-1.487987987987987992e+02,0.000000000000000000e+00
-1.484984984984984635e+02,0.000000000000000000e+00
-1.481981981981981846e+02,0.000000000000000000e+00
-1.478978978978978773e+02,0.000000000000000000e+00
-1.475975975975975985e+02,0.000000000000000000e+00
-1.472972972972972912e+02,0.000000000000000000e+00
-1.469969969969969839e+02,0.000000000000000000e+00
-1.466966966966966766e+02,0.000000000000000000e+00
-1.463963963963963977e+02,0.000000000000000000e+00
-1.460960960960960904e+02,0.000000000000000000e+00
-1.457957957957957831e+02,0.000000000000000000e+00
-1.454954954954954758e+02,0.000000000000000000e+00
-1.451951951951951969e+02,0.000000000000000000e+00
-1.448948948948948896e+02,0.000000000000000000e+00
-1.445945945945945823e+02,0.000000000000000000e+00
-1.442942942942942750e+02,0.000000000000000000e+00
-1.439939939939939677e+02,0.000000000000000000e+00
-1.436936936936936888e+02,0.000000000000000000e+00
-1.433933933933933815e+02,0.000000000000000000e+00
-1.430930930930930742e+02,0.000000000000000000e+00
-1.427927927927927669e+02,0.000000000000000000e+00
-1.424924924924924881e+02,0.000000000000000000e+00
-1.421921921921921808e+02,0.000000000000000000e+00
-1.418918918918918735e+02,0.000000000000000000e+00
-1.415915915915915662e+02,0.000000000000000000e+00
-1.412912912912912873e+02,0.000000000000000000e+00
-1.409909909909909800e+02,0.000000000000000000e+00
-1.406906906906906727e+02,0.000000000000000000e+00
-1.403903903903903654e+02,0.000000000000000000e+00
-1.400900900900900865e+02,0.000000000000000000e+00
-1.397897897897897792e+02,0.000000000000000000e+00
-1.394894894894895003e+02,0.000000000000000000e+00
-1.391891891891891646e+02,0.000000000000000000e+00
-1.388888888888888857e+02,0.000000000000000000e+00
-1.385885885885885784e+02,0.000000000000000000e+00
-1.382882882882882996e+02,0.000000000000000000e+00
-1.379879879879879638e+02,0.000000000000000000e+00
-1.376876876876876565e+02,0.000000000000000000e+00
-1.373873873873873777e+02,0.000000000000000000e+00
-1.370870870870870704e+02,0.000000000000000000e+00
-1.367867867867867915e+02,0.000000000000000000e+00
-1.364864864864864558e+02,0.000000000000000000e+00
-1.361861861861861769e+02,0.000000000000000000e+00
-1.358858858858858696e+02,0.000000000000000000e+00
-1.355855855855855907e+02,0.000000000000000000e+00
-1.352852852852852550e+02,0.000000000000000000e+00
-1.349849849849849761e+02,-6.186321227777380471e+00
-1.346846846846846688e+02,-6.305818771510059761e+00
-1.343843843843843899e+02,-6.425066873682875546e+00
-1.340840840840840542e+02,-6.544060817155433085e+00
-1.337837837837837753e+02,-6.662795894841151423e+00
-1.334834834834834680e+02,-6.781267409893502851e+00
-1.331831831831831892e+02,-6.899470675891809179e+00
-1.328828828828828819e+02,-7.017401017026616117e+00
-1.325825825825825461e+02,-7.135053768284647546e+00
-1.322822822822822673e+02,-7.252424275633343242e+00
-1.319819819819819884e+02,-7.369507896204993358e+00
-1.316816816816816811e+02,-7.486299998480373752e+00
-1.313813813813813454e+02,-7.602795962471937230e+00
-1.310810810810810665e+02,-7.718991179906577571e+00
-1.307807807807807592e+02,-7.834881054407955681e+00
-1.304804804804804803e+02,-7.950461001678260864e+00
-1.301801801801801730e+02,-8.065726449679624821e+00
-1.298798798798798657e+02,-8.180672838814917469e+00
-1.295795795795795584e+02,-8.295295622108145750e+00
